Date,Price,Open,High,Low,Vol.,Change %
"May 13, 2021",49438.00,49725.00,51154.00,48120.60,26.42K,-0.01
"May 12, 2021",49725.00,56715.00,57688.00,49725.00,14.96K,-0.12
"May 11, 2021",56715.00,55851.00,56724.00,54789.00,7.69K,0.02
"May 10, 2021",55851.00,58276.00,59454.30,55448.00,13.49K,-0.04
"May 09, 2021",58276.00,58894.00,58956.50,56977.00,8.48K,-0.01
"May 08, 2021",58894.00,57349.00,59327.00,57317.00,7.61K,0.03
"May 07, 2021",57349.00,56451.00,58101.00,55606.00,6.93K,0.02
"May 06, 2021",56451.00,57487.00,57843.00,55897.00,10.44K,-0.02
"May 05, 2021",57477.00,52960.00,57477.00,52960.00,7.66K,0.08
"May 04, 2021",53264.00,57147.00,57147.00,53264.00,10.03K,-0.07
"May 03, 2021",57147.00,56605.00,58686.00,56605.00,7.63K,0.01
"May 02, 2021",56605.00,57774.00,57774.00,56385.00,4.20K,-0.02
"May 01, 2021",57774.00,57634.70,58265.00,57259.00,4.32K,0.00
"Apr 30, 2021",57637.00,53566.00,57637.00,53339.00,7.86K,0.08
"Apr 29, 2021",53566.00,54860.00,54860.00,52631.00,7.08K,-0.02
"Apr 28, 2021",54860.00,55044.00,55575.00,54090.00,5.76K,0.00
"Apr 27, 2021",55044.00,54103.00,55215.00,53660.00,7.24K,0.02
"Apr 26, 2021",54103.00,49129.00,54214.00,49129.00,11.01K,0.10
"Apr 25, 2021",49116.30,50167.00,50539.00,48409.80,9.60K,-0.02
"Apr 24, 2021",50167.00,51139.00,51139.00,49572.00,5.98K,-0.02
"Apr 23, 2021",51139.00,51781.30,51781.30,48719.60,17.25K,-0.01
"Apr 22, 2021",51781.30,53822.00,55067.00,51781.30,12.69K,-0.04
"Apr 21, 2021",53822.00,56476.00,56476.00,53822.00,7.10K,-0.05
"Apr 20, 2021",56476.00,55639.00,56950.00,54398.00,8.39K,0.02
"Apr 19, 2021",55639.00,56173.00,57359.00,54912.80,8.57K,-0.01
"Apr 18, 2021",56163.00,59970.00,60223.00,54416.80,26.33K,-0.06
"Apr 17, 2021",59970.00,61325.00,62367.70,59970.00,7.02K,-0.02
"Apr 16, 2021",61325.00,63196.00,63453.00,60286.00,11.54K,-0.03
"Apr 15, 2021",63196.00,62907.00,63475.00,62348.00,6.61K,0.00
"Apr 14, 2021",62942.70,63518.00,64374.00,62065.00,10.93K,-0.01
"Apr 13, 2021",63518.00,59900.00,63518.00,59900.00,11.26K,0.06
"Apr 12, 2021",59900.00,60034.80,60701.00,59747.00,5.50K,0.00
"Apr 11, 2021",60034.80,59823.80,60486.00,59411.00,4.65K,0.00
"Apr 10, 2021",59823.80,58114.00,60984.00,58114.00,9.79K,0.03
"Apr 09, 2021",58114.00,58110.00,58683.00,57849.00,3.75K,0.00
"Apr 08, 2021",58110.00,55960.00,58110.00,55960.00,4.48K,0.04
"Apr 07, 2021",55960.00,57991.00,58490.00,55960.00,8.85K,-0.04
"Apr 06, 2021",57991.00,59145.00,59200.00,57603.00,5.62K,-0.02
"Apr 05, 2021",59145.00,58240.00,59145.00,57034.00,5.59K,0.02
"Apr 04, 2021",58240.00,57023.00,58240.00,57023.00,4.97K,0.02
"Apr 03, 2021",57023.00,58959.00,59499.00,57023.00,6.63K,-0.03
"Apr 02, 2021",58959.00,58727.40,59834.00,58727.40,6.15K,0.00
"Apr 01, 2021",58727.40,58796.00,59172.90,58498.00,4.35K,0.00
"Mar 31, 2021",58796.00,58841.00,59453.00,57698.00,8.12K,0.00
"Mar 30, 2021",58841.00,57672.30,59349.00,57278.00,7.87K,0.02
"Mar 29, 2021",57672.30,55773.00,58162.00,54984.00,10.12K,0.03
"Mar 28, 2021",55773.00,55886.00,56326.00,55089.00,4.21K,0.00
"Mar 27, 2021",55886.00,54992.90,56249.00,54373.00,5.18K,0.02
"Mar 26, 2021",54992.90,51363.00,54992.90,51363.00,7.71K,0.07
"Mar 25, 2021",51363.00,52347.20,52926.00,50874.00,11.59K,-0.02
"Mar 24, 2021",52347.20,54331.00,56919.00,52347.20,14.08K,-0.04
"Mar 23, 2021",54331.00,54074.00,55646.90,53541.20,6.57K,0.00
"Mar 22, 2021",54074.00,57368.00,58036.00,54074.00,8.72K,-0.06
"Mar 21, 2021",57368.00,58087.00,58499.50,56200.00,8.29K,-0.01
"Mar 20, 2021",58087.00,58074.00,59421.00,58074.00,6.78K,0.00
"Mar 19, 2021",58074.00,57640.00,58961.00,57030.00,6.48K,0.01
"Mar 18, 2021",57640.00,58870.00,59799.00,57580.00,7.24K,-0.02
"Mar 17, 2021",58870.00,56924.00,58870.00,54576.00,11.27K,0.03
"Mar 16, 2021",56924.00,55644.00,56924.00,54049.00,10.49K,0.02
"Mar 15, 2021",55644.00,59005.00,60141.10,55644.00,14.78K,-0.06
"Mar 14, 2021",59005.00,61207.00,61468.00,59005.00,6.64K,-0.04
"Mar 13, 2021",61207.00,57315.00,61207.00,56488.00,13.70K,0.07
"Mar 12, 2021",57315.00,57869.00,57869.00,55946.00,9.56K,-0.01
"Mar 11, 2021",57869.00,55939.00,57921.00,54834.00,8.66K,0.03
"Mar 10, 2021",55955.20,54950.00,57033.00,53698.70,10.68K,0.02
"Mar 09, 2021",54949.40,52395.00,54949.40,52395.00,8.20K,0.05
"Mar 08, 2021",52395.00,51031.20,52395.00,49821.00,6.15K,0.03
"Mar 07, 2021",51031.20,48895.00,51031.20,48895.00,5.37K,0.04
"Mar 06, 2021",48895.00,48811.00,49043.10,47515.40,4.21K,0.00
"Mar 05, 2021",48811.00,48368.00,49277.00,46662.00,9.42K,0.01
"Mar 04, 2021",48368.00,50425.00,51556.00,48059.00,9.56K,-0.04
"Mar 03, 2021",50425.00,48526.00,52018.00,48526.00,8.60K,0.04
"Mar 02, 2021",48526.00,49572.00,49572.00,47453.60,8.37K,-0.02
